scp-1477,Safe,,appliance physics radioactive safe scp toy 
scp-1478,Euclid,,alive cactaceous euclid hive-mind knowledge plant sapient scp sentient telepathic transfiguration 
scp-1479,Euclid,site-65,biological euclid extradimensional location scp 
scp-148,Euclid,,euclid metallic mind-affecting prometheus rewrite scp telepathic 
scp-1480,Safe,,extraterrestrial light safe scp sentient transmission vehicle 
scp-1481,Safe,,artifact ectoentropic humanoid intangible safe sapient scp sentient tactile 
scp-1482,Safe,,animal biological building chaos-insurgency safe scp sentient 
scp-1483,Euclid,,antarctic-exchange euclid extradimensional location scp 
scp-1484,Safe,site-19,artifact cognitohazard document hallucination knowledge safe scp sensory tactile 
scp-1485,Euclid,,euclid extradimensional location portal scp spacetime 
scp-1486,Euclid,,euclid humanoid reproductive sapient scp sentient sexual teleportation toy 
scp-1487,Euclid,site-19,alive euclid humanoid sapient scp sensory sentient skeletal 
scp-1488,Euclid,,alive animal chelonian electronic euclid mechanical scp transmission 
scp-1489,Euclid,,euclid featured humanoid intangible mechanical scp vehicle visual 
scp-149,Keter,,airborne alive featured insect keter scp transfiguration virus 
scp-1490,Euclid,,alive euclid humanoid mind-affecting sapient scp sentient transfiguration 
scp-1491,Safe,,alive humanoid observational recording safe sapient scp sentient 
scp-1492,Safe,,safe scp teleportation vehicle 
scp-1493,Euclid,,acoustic animal artifact autonomous electronic euclid extradimensional scp vermian 
scp-1494,Euclid,,airborne euclid extradimensional rewritable scp structure 
scp-1495,Euclid,,alive animal euclid hostile sapient scp sentient species 
scp-1496,neutralized,,artifact compulsion meta metamorphic mind-affecting neutralized safe scp 
scp-1497,Safe,,agent-navarro cognitohazard container observational ocular safe scp sensory visual 
scp-1498,Euclid,site-77,appliance auditory autonomous euclid oneiroi ovine rewritable scp sleep transmission 
scp-1499,Safe,,clothing extradimensional humanoid safe scp 
scp-15,Euclid,,euclid scp self-replicating sentient structure 
scp-150,Keter,,animal co-authored insect keter neurological parasitic rewrite scp 
scp-1500,Safe,site-14,autonomous humanoid keter memory-affecting mind-affecting plant scp telepathic 
scp-1501,Euclid,site-77,automaton engraved euclid humanoid manna-charitable-foundation rewritable scp sentient 
scp-1502,Euclid,,automaton euclid humanoid medical sapient scp sentient teleportation 
scp-1503,Safe,,autonomous engraved geological humanoid location mobile safe sapient scp sentient stone 
scp-1504,Keter,,alive humanoid keter memetic meta mind-affecting sapient scp sentient uncontained 
scp-1505,Keter,,airborne animal avian event-featured keter loop paradox scp self-replicating temporal 
scp-1506,Keter,,airborne animal arachnid event-featured gravity hive-mind keter meteorological mobile predatory scp uncontained 
scp-1507,Euclid,site-77,artifact autonomous avian euclid hostile rewrite scp 
scp-1508,Safe Neutralized,site-77,adaptive automaton dr-wondertainment ectoentropic metamorphic neutralized rewritable safe scp toy 
scp-1509,Safe,,ectoentropic featured humanoid insect safe scp weapon 
scp-151,Euclid,,artistic cognitohazard euclid liquid scp visual 
scp-1510,Safe,site-18,clothing memory-affecting metallic military mind-affecting safe scp 
scp-1511,Euclid,,crystalline euclid event-featured extradimensional mobile polyhedral scp self-repairing statue 
scp-1512,Keter,,indestructible keter mathematical organic scp 
scp-1513,Safe,site-77,alive animal mobile plant rewritable safe scp sentient 
scp-1514,Keter,,biological container extraterrestrial k-class-scenario keter military satellite scp transmission unusual-incidents-unit weapon 
scp-1515,Euclid,,alive animal co-authored euclid murine reproductive scp sentient 
scp-1516,Euclid,,ectoentropic euclid humanoid inscription language sapient scp sentient 
scp-1517,Euclid,site-19,airborne alive carnivorous euclid food insect scp sugarcomb-confectionery transfiguration 
scp-1518,Keter,,acoustic airborne ectoentropic k-class-scenario keter liquid musical scp sculpture stone transfiguration 
scp-1519,Safe,site-18,artifact biological electrical safe scp 
scp-152,Safe,,document historical indestructible k-class-scenario predictive safe scp 
scp-1520,Safe,site-65,alive humanoid religious safe sapient scp sentient 
scp-1521,Euclid,,building euclid humanoid location observational religious scp sensory visual 
scp-1522,Neutralized,,aquatic autonomous global-occult-coalition neutralized pangloss sapient scp sentient vehicle 
scp-1523,Safe,,artifact fifthist fire safe sapient scp sentient 
scp-1524,Euclid,,alive auditory euclid humanoid parasitic scp species vehicle 
scp-1525,Safe,,jewelry mind-affecting safe scp timepiece 
scp-1526,Euclid,,euclid exchange humanoid rewritable scp telekinetic teleportation uncontained 
scp-1527,Keter,,acoustic arthropod autonomous building city extradimensional hostile instrument keter loop mind-affecting scp serpents-hand telepathic 
scp-1528,Safe,site-77,artifact co-authored liquid mind-affecting safe scp 
scp-1529,Euclid,,cognitohazard euclid humanoid mind-affecting scp uncontained visual 
scp-153,Euclid,area-12,alive carnivorous euclid invertebrate metamorphic mimetic predatory scp species vermian 
scp-1530,Euclid,animal biological building canine euclid feline green-king humanoid pitch-haven sapient scp sentient , Previously Safe.
scp-1531,Safe,,compulsion electronic engraved event-featured instrument knowledge mind-affecting safe scp 
scp-1532,Euclid,,document ectoentropic euclid humanoid scp uncontained 
scp-1533,Euclid,,euclid hive-mind humanoid scp swarm 
scp-1534,keter,,alive cephalopodic co-authored currency featured fifthist hostile humanoid keter religious sapient scp sentient transfiguration 
scp-1535,Safe,site-17,container glass historical knowledge mind-affecting safe scp 
scp-1536,Euclid,site-18,autonomous euclid metamorphic mimetic organic scp self-repairing 
scp-1537,Keter,,amorphous ectoentropic global-occult-coalition keter knowledge language memetic radioactive scp transfiguration 
scp-1538,Euclid,site-19,document euclid geological location mechanical narrative scp 
scp-1539,Safe,site-14,concept location memetic safe scp 
scp-154,Euclid,site-45,euclid intangible jewelry scp skeletal transfiguration weapon 
scp-1540,Euclid,,alive euclid humanoid knowledge metamorphic sapient scp sentient 
scp-1541,Euclid,,electronic euclid extraterrestrial religious sapient scp sentient transmission 
scp-1542,Euclid,area-12,alive euclid humanoid scp sentient 
scp-1543,Safe Neutralized Euclid,,acoustic city euclid extradimensional humanoid intangible scp transmission 
scp-1544,Safe,,auditory biological co-authored dr-wondertainment performance safe scp sentient 
scp-1545,Safe,,clothing mind-affecting performance safe scp 
scp-1546,Safe,site-2498,alexylva clothing electronic empathic mind-affecting safe scp 
scp-1547,Keter,,biological compulsion hallucination humanoid keter rewrite ritual scp sentient teleportation visual 
scp-1548,Keter,,chaos-insurgency children-of-the-torch co-authored electromagnetic extradimensional extraterrestrial global-occult-coalition keter pattern-screamer radioactive scp second-hytoth sun uncontained 
scp-1549,Safe,,aiad artistic building co-authored computer electronic extradimensional online portal safe scp tactile 
scp-155,Safe,,computer electronic prometheus radioactive safe scp temporal thermal 
scp-1550,Safe,,adaptive alive animal dr-wondertainment safe scp 
scp-1551,Euclid,,building euclid kindness loop probability scp 
scp-1552,Safe,,alive animal canine contagion ocular safe scp visual 
scp-1553,Safe,,dr-wondertainment event-featured safe scp shadow toy 
scp-1554,Safe,,autonomous document gravity narrative safe scp sculpture 
scp-1555,Euclid,,autonomous ectoentropic euclid geological location metamorphic murine scp structure weapon 
scp-1556,Euclid,,alive animal equine euclid gaseous scp sentient uncontained 
scp-1557,Safe,,airborne animal extradimensional inscribed portal religious safe sapient scp sentient sphere structure thermal 
scp-1558,Safe,site-65,computer safe scp telepathic transmission 
scp-1559,Euclid,site-77,auditory avian cognitohazard compulsion document empathic euclid historical knowledge language mind-affecting religious rewrite sapient scp sensory sentient visual 
scp-156,Euclid,,euclid food mind-affecting plant reanimation scp self-replicating 
scp-1560,Euclid,,airborne alive animal avian euclid extradimensional predatory scp species uncontained 
scp-1561,Glorious,,esoteric-class infohazard jewelry meta mind-affecting scp visual 
scp-1562,Safe,,extradimensional loop portal safe scp structure toy 
scp-1563,Safe Euclid,site-81,biological euclid inscribed predatory scp species 
scp-1564,Euclid-numen,site-19,are-we-cool-yet artifact broken-god clockwork daevite dr-wondertainment euclid fifthist global-occult-coalition metallic scp serpents-hand telepathic 
scp-1565,Safe,,animal biological chelonian electrical extraterrestrial rewrite safe scp sentient 
scp-1566,Safe,,clothing cognitohazard compulsion mind-affecting safe scp visual 
scp-1567,Euclid,,autonomous city euclid featured radioactive scp transmission vehicle 
scp-1568,Euclid,,alive aquatic arthropod euclid mimetic predatory scp 
scp-1569,Euclid,site-104,alive animal aquatic carnivorous euclid scp sentient shark-punching-center 
scp-157,Euclid,,alive animal euclid microscopic mind-affecting predatory scp species swarm telepathic 
scp-1570,Euclid,,euclid humanoid intangible scp visual 
scp-1571,Safe,,co-authored container ectoentropic marshall-carter-and-dark safe scp telepathic 
scp-1572,Safe,site-77,auditory cognitohazard compulsion document hallucination knowledge map memory-affecting rewritable safe scp sensory visual 
scp-1573,keter,,antimemetic cadaver cephalopodic city compulsion hostile humanoid keter metallic parasitic reproductive rewrite ritual scp sentient spacetime statue 
scp-1574,Keter,,airborne autonomous cognitohazard extraterrestrial keter metamorphic rewritable scp sphere transmission uncontained visual 
scp-1575,Safe,site-19,marshall-carter-and-dark safe scp statue transfiguration 
scp-1576,Euclid,,artifact auditory contagion euclid hallucination historical mechanical prometheus rewritable scp telepathic transfiguration 
scp-1577,Safe,site-45,airborne co-authored extradimensional military safe scp thermal tool vehicle 
scp-1578,Euclid,,autonomous clothing euclid humanoid intangible mobile physics scp uncontained 
scp-1579,Safe,site-65,safe scp structure transfiguration wooden 
scp-158,Euclid,area-12,ectoentropic euclid gaseous mechanical memory-affecting mind-affecting scp 
scp-1580,Safe,,acoustic alive arboreal mobile plant safe sapient scp sentient 
scp-1581,Safe,,biological extradimensional food humanoid mind-affecting safe scp sphere 
scp-1582,Safe,,biological formic humanoid insect safe sapient scp sentient swarm 
scp-1583,Keter,,biological container global-occult-coalition inscribed keter metallic rewritable scp self-replicating transfiguration 
scp-1584,Euclid,,computer document electronic euclid online physics scp transfiguration 
scp-1585,Euclid,,alive animal euclid genetic location scp 
scp-1586,Euclid,site-06-2,alive euclid gravity humanoid reproductive sapient scp sentient 
scp-1587,Safe,,extradimensional furniture mechanical rewrite safe scp sleep 
scp-1588,Euclid,,euclid geological historical location sapient scp sentient uncontained vibration 
scp-1589,Anomalous Organism,,alive esoteric-class historical humanoid language scp sentient 
scp-159,Safe,,appliance electrical indestructible safe scp 
scp-1590,Euclid,site-17,are-we-cool-yet computer euclid game portal scp spacetime telepathic 
scp-1591,Keter,site-77,adaptive featured glass k-class-scenario keter light rewritable scp sculpture serpents-hand 
scp-1592,Euclid,,auditory cognitohazard euclid mind-affecting recording scp transfiguration transmission visual 
scp-1593,Safe,,cadaver engraved humanoid safe scp sensory skeletal spacetime tactile 
scp-1594,Safe,,autonomous geological humanoid intangible military safe sapient scp sentient subterranean transmission uncontained 
scp-1595,Euclid,,euclid inscription scp temporal 
scp-1596,Safe,,fire safe scp self-repairing tool 
scp-1597,Euclid,site-19,acoustic airborne artifact autonomous euclid mobile sapient scp sentient 
scp-1598,Euclid,site-45,alive apian euclid foundation-made genetic humanoid insect scp sentient 
scp-1599,Safe,,automaton hostile rewrite safe sapient scp 
scp-16,Keter,,alive biohazard contagion keter sapient scp species transfiguration 
scp-160,Euclid,,airborne autonomous euclid mechanical predatory scp 
scp-1600,Safe,,food liquid marshall-carter-and-dark safe scp transfiguration 
scp-1601,Euclid,,artifact euclid indestructible light location scp transmission 
scp-1602,Safe,,artifact extradimensional humanoid safe scp telepathic transfiguration 
scp-1603,Safe,,infohazard memory-affecting safe scp 
scp-1604,Euclid,,euclid geological indestructible metallic scp 
scp-1605,Safe,,artistic cognitohazard recording safe scp visual 
scp-1606,Euclid-exsequi,,building euclid humanoid memory-affecting scp self-repairing 
scp-1607,Euclid,,city euclid extradimensional metamorphic scp 
scp-1608,Euclid,,airborne alive animal cetacean euclid intangible predatory rewritable scp sentient 
scp-1609,Euclid,,autonomous euclid furniture global-occult-coalition scp sentient teleportation wooden 
scp-161,Euclid,,compulsion euclid factory mind-affecting scp toy 
scp-1610,Euclid,site-19,alive euclid humanoid liquid mind-affecting prometheus scp self-repairing 
scp-1611,Euclid,,building euclid humanoid rewritable sapient scp sentient 
scp-1612,Safe,,alive ectoentropic fire liquid pangloss plant safe scp species 
scp-1613,Euclid,,document euclid rewritable scp 
scp-1614,Safe,,auditory computer media metamorphic recording safe scp visual 
scp-1615,Safe,,alive food fungus light manna-charitable-foundation safe scp transfiguration 
scp-1616,Keter,,alive animal keter scp sentient teleportation 
scp-1617,Safe,,alexylva are-we-cool-yet artistic auditory hallucination safe scp visual 
scp-1618,Safe,,are-we-cool-yet furniture safe scp transfiguration 
scp-1619,euclid,site-45,animal auditory autonomous building cadaver euclid extradimensional humanoid pitch-haven scp sculpture sentient subterranean 
scp-162,Euclid,,artifact cognitohazard compulsion euclid scp tactile 
scp-1620,Euclid,,contagion euclid hostile parasitic scp sentient visual 
scp-1621,Keter,,chemical corrosive keter plant scp toxic 
scp-1622,Euclid,,cognitohazard currency euclid exchange food gustatory mind-affecting scp 
scp-1623,Keter,,alive horizon-initiative hostile humanoid intangible k-class-scenario keter location sapient scp sentient 
scp-1624,Euclid,,computer document electronic euclid online rewritable scp 
scp-1625,Euclid Keter,,cadaver genetic humanoid infohazard keter narrative scp uncontained 
scp-1626,Safe-impetus,site-45,clothing gaseous predatory safe scp thermal 
scp-1627,Euclid,,alive cadaver euclid fungus mind-affecting ritual scp transfiguration 
scp-1628,Euclid,,automaton autonomous city euclid historical humanoid loop rewritable scp structure subterranean 
scp-1629,Safe,,autonomous extraterrestrial furniture physics safe scp wooden 
scp-163,Safe,,alive extraterrestrial safe sapient scp sentient 
scp-1630,Euclid,site-77,ectoentropic euclid food humanoid rewritable ritual sapient scp self-repairing sentient transfiguration 
scp-1631,keter,,crystalline humanoid keter sapient scp sentient stone 
scp-1632,Euclid,,alive euclid featured humanoid knowledge sapient scp sentient telekinetic transfiguration visual 
scp-1633,Safe,,adaptive computer game safe scp telepathic 
scp-1634,Safe,site-65,biological hallucination jewelry marshall-carter-and-dark metallic neurological recording safe scp tactile 
scp-1635,Safe,,autonomous biological electronic humanoid memory-affecting reanimation safe sapient scp self-repairing sentient tactile 
scp-1636,Euclid Safe,site-77,biological humanoid indestructible rewritable safe scp self-repairing 
scp-1637,Euclid,,alive automaton autonomous euclid hostile humanoid prometheus scp self-replicating structure weapon 
scp-1638,Euclid,,acoustic alive euclid event-featured insect location scp swarm 
scp-1639,Safe,,acoustic appliance electronic musical safe scp transmission 
scp-164,Euclid,,alive biohazard cephalopodic contagion euclid invertebrate parasitic scp species transfiguration 
scp-1640,Neutralized,ectoentropic electrical extraterrestrial leporine neutralized plant safe satellite scp transmission vehicle , Previously Safe.
scp-1641,Euclid,,airborne alive euclid fire insect lepidopteran metallic scp species 
scp-1642,Safe,,dr-wondertainment mind-affecting safe scp temporal transfiguration 
scp-1643,Euclid,,euclid knowledge language mind-affecting religious scp structure telekinetic 
scp-1644,Safe,,artifact engraved historical location mind-affecting ritual safe scp stone 
scp-1645,Euclid,,alive animal biohazard euclid reptilian scp virus 
scp-1646,Safe-exsequi,,cadaver humanoid safe scp uncontained 
scp-1647,Extranormal Keter Neutralized Keter,,electrical keter metallic mind-affecting scp sphere 
scp-1648,Safe,,biological carnivorous ectoentropic humanoid safe sapient scp 
scp-1649,Euclid Neutralized,,auditory cognitohazard euclid mind-affecting neutralized scp transmission 
scp-165,Keter,area-12,alive carnivorous featured invertebrate keter scp self-replicating species swarm toxic 
scp-1650,Safe,site-18,container food horizon-initiative liquid religious safe scp toxic 
scp-1651,Safe,site-77,loop rewritable safe scp sensory toy visual 
scp-1652,Safe Euclid (See Incident Report 1652-1),,canine euclid historical humanoid location scp temporal weapon 
scp-1653,Safe,,autonomous biological glass light metallic polyhedral safe scp sentient transmission 
scp-1654,esoteric-class,,esoteric-class meta scp 
scp-1655,Euclid,,animal arachnid euclid memory-affecting parasitic scp 
scp-1656,Euclid,,euclid memory-affecting sapient scp uncontained 
scp-1657,Euclid,site-19,alive euclid event-featured food humanoid reproductive scp sentient 
scp-1658,Euclid,,alive euclid featured fungus language scp sensory visual 
scp-1659,Keter,,alive concept humanoid keter knowledge mind-affecting sapient scp sentient telepathic uncontained 
scp-166,Euclid,site-18,alive cervine doctor-clef doctor-light euclid global-occult-coalition humanoid plant religious rewrite sapient scp sentient transfiguration 
scp-1660,Safe,,appliance event-featured extradimensional fire marshall-carter-and-dark portal safe scp 
scp-1661,Archon,site-0,airborne archon automaton autonomous cephalopodic clockwork event-featured mobile predatory rewrite sapient scp self-replicating sentient swarm 
scp-1662,Euclid,,autonomous euclid humanoid language metallic sapient scp sentient 
scp-1663,Euclid,,currency euclid infohazard location metallic mind-affecting scp 
scp-1664,Safe Euclid,,amorphous autonomous euclid liquid sapient scp self-replicating sentient 
scp-1665,safe,,document meta safe scp 
scp-1666,Safe,,1000 auditory cognitohazard media mind-affecting musical recording safe scp 
scp-1667,Euclid,site-19,audio clothing compulsion contagion euclid mobile scp 
scp-1668,Safe-praedico,site-81,acoustic auditory cognitohazard hallucination musical recording safe scp 
scp-1669,Euclid,site-06-2,able alive euclid hostile humanoid loop memory-affecting sapient scp self-replicating sentient 
scp-167,Safe,,cube portal safe scp spacetime structure 
scp-1670,Euclid,,building euclid extradimensional location scp self-repairing 
scp-1671,Euclid,,autonomous cadaver euclid hostile humanoid location sapient scp self-replicating sentient subterranean 
scp-1672,Safe,,are-we-cool-yet cognitohazard compulsion document inscription memetic meta safe scp visual 
scp-1673,Safe,,autonomous extremity humanoid location organic rewritable safe scp 
scp-1674,Safe,,autonomous building electromagnetic extradimensional light radioactive safe scp transfiguration 
scp-1675,Safe,,automaton avian ectoentropic hostile safe scp weapon 
scp-1676,Euclid,site-06-2,alive ectoentropic ethics-committee euclid humanoid sapient scp sentient vehicle 
scp-1677,Euclid,,auditory cognitohazard euclid hallucination memetic musical scp tactile 
scp-1678,Euclid,,city euclid historical k-class-scenario pattern-screamer scp subterranean 
scp-1679,Euclid,,cadaver euclid humanoid location memory-affecting mind-affecting scp telepathic 
scp-168,Safe,,electronic eric safe sapient scp sentient tool 
scp-1680,Euclid,,alive euclid humanoid loop sapient scp self-replicating sentient vehicle 
scp-1681,Keter,,auditory cognitohazard compulsion ectoentropic gru-division-p keter memetic scp transfiguration 
scp-1682,Neutralized,,extraterrestrial invertebrate neutralized parasitic scp species sun uncontained 
scp-1683,Safe,,building co-authored cognitohazard compulsion event-featured extraterrestrial historical indestructible metamorphic mind-affecting moon safe scp tactile 
scp-1684,Keter,,building corporate keter memory-affecting mind-affecting rewrite scp subterranean teleportation 
scp-1685,Safe,,extraterrestrial pangloss physics portal safe scp spacetime 
scp-1686,Euclid,,animal aquatic euclid extradimensional fungus location meteorological scp 
scp-1687,Safe,,artifact auditory cognitohazard event-featured memetic musical safe scp self-repairing sensory wooden 
scp-1688,Euclid,,electrical euclid meteorological mind-affecting scp uncontained 
scp-1689,Safe,,container extradimensional food plant portal safe scp self-replicating 
scp-169,Keter,,alive aquatic arthropod keter scp uncontained 
scp-1690,Euclid,,autonomous co-authored ectoentropic euclid food humanoid sapient scp sentient statue 
scp-1691,Euclid,,euclid extradimensional portal scp 
scp-1692,euclid,,autonomous euclid geological humanoid location mimetic scp the-gulf transfiguration 
scp-1693,Safe,,auditory cognitohazard contagion mind-affecting safe scp 
scp-1694,Euclid,,euclid extraterrestrial hostile planet scp self-replicating 
scp-1695,Safe,,acoustic artifact herman-fuller indestructible mechanical metallic musical safe scp transfiguration vermian 
scp-1696,Safe,site-14,cube dr-wondertainment indestructible safe scp 
scp-1697,Safe Neutralized,,biological humanoid neutralized reanimation safe sapient scp sentient 
scp-1698,Keter,,building keter location probability scp 
scp-1699,Euclid,,euclid geological immobile location rewrite sapient scp sentient stone 
scp-17,Keter,,hostile humanoid keter light scp shadow 
scp-170,Safe,,chemical liquid safe scp transfiguration 
scp-1700,Euclid,,building cadaver clothing euclid reanimation scp teleportation uncontained 
scp-1701,Euclid,,autonomous cognitohazard euclid ocular plant predatory reproductive scp transfiguration visual 
scp-1702,Euclid,site-06-2,alive apian euclid humanoid insect scp species swarm transfiguration 
scp-1703,Safe,,artifact gravity light radioactive safe scp 
scp-1704,Euclid-numen,site-19,euclid extradimensional global-occult-coalition humanoid reanimation sapient scp sentient skeletal structure 
scp-1705,Safe,site-19,biological historical safe scp skeletal 
scp-1706,euclid,,electronic euclid mechanical media memory-affecting recording scp 
scp-1707,Euclid,,alive animal biohazard euclid hive-mind invertebrate parasitic predatory scp species vermian 
scp-1708,Euclid,,acoustic alive audio euclid horizon-initiative humanoid musical sapient scp sentient 
scp-1709,Safe,,humanoid reproductive safe scp sentient 
scp-171,Euclid,area-12,biological euclid hive-mind scp sentient 
scp-1710,Euclid,,acoustic alive arboreal euclid plant sapient saturn-deer scp sentient 
scp-1711,Euclid,site-18,chemical document euclid gaseous language liquid mind-affecting saturn-deer scp 
scp-1712,Keter,,animal biological co-authored feline keter physics rewrite scp sentient statue stone tactile transfiguration 
scp-1713,Safe,,automaton autonomous building clockwork safe scp 
scp-1714,Keter,,document k-class-scenario keter mathematical ontokinetic physics scp 
scp-1715,Euclid,,computer euclid knowledge online probability rewrite sapient scp sentient transmission uncontained 
scp-1716,Safe,,artifact electronic marshall-carter-and-dark safe scp transfiguration wooden 
scp-1717,Keter,,keter scp toxic virus 
scp-1718,Euclid,,container crystalline electromagnetic euclid foundation-made instrument metallic scp sphere thermodynamic 
scp-1719,Euclid,,alive animal euclid genetic humanoid k-class-scenario religious scp sensory visual 
scp-172,Euclid,,automaton clockwork euclid humanoid scp sentient 
scp-1720,Euclid Keter Neutralized,,autonomous extraterrestrial historical keter neutralized organic scp self-replicating sentient swarm 
scp-1721,Safe,site-18,autonomous knowledge safe scp toy 
scp-1722,Safe,site-18,artifact document media recording safe scp transfiguration wooden 
scp-1723,Safe,site-77,alive auditory electromagnetic gru-division-p humanoid rewritable safe scp sentient transmission 
scp-1724,Safe,site-77,artifact cognitohazard fifthist rewritable safe scp tactile teleportation 
scp-1725,Safe,,appliance artistic marshall-carter-and-dark rewritable safe scp transfiguration 
scp-1726,Euclid,,automaton bibliothetic building daevite document euclid historical humanoid knowledge scp spacetime wanderers-library 
scp-1727,Safe,,appliance electrical mechanical rewritable safe scp telekinetic 
scp-1728,Safe,,ectoentropic food humanoid safe sapient scp sentient weapon 
scp-1729,Euclid,,autonomous euclid hallucination scp transfiguration vehicle 
scp-173,Euclid,site-18,autonomous euclid featured hostile observational scp sculpture the-sculpture 
scp-1730,neutralized,,audio bobble-the-clown building extradimensional foundation-made neutralized scp spacetime tau-5-samsara 
scp-1731,Safe,site-19,appliance electrical event-featured extradimensional portal ritual safe scp 
scp-1732,Neutralized (Safe),,animal feline historical neutralized safe sapient scp 
scp-1733,Safe,,electronic game loop media recording safe scp sport 
scp-1734,Euclid,,aquatic biological euclid extradimensional indestructible invertebrate reanimation scp self-repairing spacetime vehicle 
scp-1735,Safe,,container immobile location safe scp 
scp-1736,Keter,,alive auditory cognitohazard foundation-made humanoid keter media mind-affecting radioactive recording religious sapient scp sentient 
scp-1737,Euclid,,euclid game humanoid medical metamorphic probability sapient scp self-repairing sentient sport vehicle 
scp-1738,Safe,site-77,auditory furniture hallucination marshall-carter-and-dark memory-affecting mind-affecting rewritable safe scp visual 
scp-1739,Keter,,computer electronic indestructible keter scp temporal 
scp-174,"Safe Euclid, see Incident 174-A",site-18,compulsion euclid mind-affecting performance scp tool 
scp-1740,Safe,,autonomous ectoentropic mind-affecting safe scp structure toy 
scp-1741,Euclid,,autonomous biological building ectoentropic euclid humanoid indestructible sapient scp sentient spacetime vehicle 
scp-1742,Safe,,biohazard contagion ectoentropic featured safe scp 
scp-1743,Euclid,,acoustic building compulsion euclid humanoid media mind-affecting scp 
scp-1744,Safe,,acoustic ectoentropic mind-affecting recording safe scp 
scp-1745,Keter,,airborne autonomous ectoentropic electromagnetic gru-division-p intangible k-class-scenario keter military scp vehicle 
scp-1746,Euclid,,electrical euclid meteorological performance ritual scp 
scp-1747,Euclid,site-77,cadaver euclid humanoid scp tool 
scp-1748,Keter,,acoustic artifact auditory k-class-scenario keter loop musical observational recording scp 
scp-1749,Euclid,site-11,alive ectoentropic electronic euclid hostile humanoid sapient scp sentient 
scp-175,Safe,,map metamorphic safe scp telepathic 
scp-1750,Keter,,animal autonomous keter predatory scp vehicle 
scp-1751,keter,,historical infohazard keter neurological scp sensory 
scp-1752,Euclid,,acoustic auditory euclid intangible location sapient saturn-deer scp sentient teleportation 
scp-1753,Safe,,artistic cognitohazard mind-affecting safe scp sensory spacetime visual 
scp-1754,Safe,,acoustic biohazard gaseous organic safe scp sentient skeletal 
scp-1755,Keter,,animal auditory biohazard clothing contagion keter scp species uncontained vermian 
scp-1756,Safe,site-65,appliance auditory electronic media metamorphic recording safe scp visual 
scp-1757,Safe,site-14,cognitohazard hostile media mind-affecting recording safe scp visual 
scp-1758,Safe,,auditory cognitohazard instrument mind-affecting musical safe scp 
scp-1759,Euclid,,airborne cognitohazard euclid mechanical mind-affecting scp tactile telepathic vehicle 
scp-176,Euclid,,building euclid loop scp temporal 
scp-1760,Euclid,,autonomous cadaver container euclid gru-division-p humanoid location scp teleportation 
scp-1761,Euclid,,alive currency ectoentropic euclid humanoid knowledge sapient scp sentient telekinetic 
scp-1762,Safe Neutralized,,airborne artifact autonomous container document inscribed neutralized reptilian safe sapient scp sentient 
scp-1763,Safe,,building extradimensional location performance safe scp 
scp-1764,keter,,artifact extradimensional keter meta metallic scp 
scp-1765,Keter,,building humanoid keter ontokinetic sapient scp sentient serpents-hand spacetime temporal 
scp-1766,Euclid,,airborne euclid hostile scp uncontained vehicle 
scp-1767,Euclid,,co-authored collab-con2019 document euclid extradimensional oneiroi scp selachian shark-punching-center 
scp-1768,Euclid,,autonomous ectoentropic euclid scp telekinetic 
scp-1769,Keter,site-45,auditory cognitohazard computer keter mind-affecting neurological online scp transmission virus 
scp-177,Safe,,autonomous game rewrite safe scp toy 
scp-1770,Euclid,site-18,artifact euclid humanoid metallic scp self-replicating transfiguration 
scp-1771,Euclid,,building euclid extradimensional key kindness location loop scp 
scp-1772,Safe,site-18,auditory cognitohazard document memetic safe scp visual 
scp-1773,Safe,,alive animal arthropod food safe scp species 
scp-1774,Safe,site-88,event-featured humanoid instrument intangible recording religious safe sapient scp sentient 
scp-1775,Euclid,,building euclid humanoid intangible loop metamorphic scp 
scp-1776,Safe,,artifact cognitohazard military mind-affecting safe scp sensory visual 
scp-1777,Safe (Change to Neutralized under O5 review),,auditory ectoentropic geological humanoid neutralized safe scp telepathic 
scp-1778,Euclid,,alive euclid event-featured extraterrestrial gru-division-p humanoid loop sapient satellite scp sentient temporal transmission vehicle 
scp-1779,Euclid,site-65,alive animal currency euclid metallic nocturnal reptilian scp 
scp-178,Euclid,,clothing euclid humanoid intangible scp visual 
scp-1780,safe,site-14,artifact event-featured future infohazard portal safe scp temporal thad-xyank 
scp-1781,Safe,site-81,aldon autonomous co-authored finnegan media safe scp structure 
scp-1782,Euclid,,building ectoentropic euclid metamorphic scp 
scp-1783,Safe,site-2498,biohazard canine contagion safe scp serpents-hand teleportation 
scp-1784,Safe,,airborne alive animal gaseous safe scp sentient species 
scp-1785,Safe,site-98,infohazard meta plant safe scp 
scp-1786,Safe,,appliance autonomous ectoentropic electrical event-featured k-class-scenario liquid observational safe scp 
scp-1787,Euclid,,alive biological canine cube euclid humanoid sapient scp sculpture sentient 
scp-1788,Keter,,alive humanoid keter predatory sapient scp sentient species 
scp-1789,Euclid,site-14,chemical compulsion euclid scp telepathic 
scp-179,Safe Thaumiel,site-98,electromagnetic extraterrestrial humanoid international k-class-scenario predictive sapient scp sentient sun thaumiel transmission 
scp-1790,Keter,,humanoid keter memory-affecting mind-affecting sapient scp sentient 
scp-1791,Euclid,area-12,alive euclid extradimensional featured humanoid mobile portal sapient scp sentient 
scp-1792,Safe,,cognitohazard contagion media mind-affecting recording safe scp visual 
